id,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24
PPS-DEV-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,② 공고일 전일부터 기산하여 최근 7년간 지표·시굴·정밀발굴을 포함한 매장유산 조사업무를 수행하고 그 준공금액이 단일 용역으로 5억원 이상인 실적을 보유한 자,,,,,,,,,,,,,,,,,,,,,
PPS-DEV-06,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,최근 5년간 국가기관이 발주한 국제회의 개최 대행 용역의 이행실적이 4억원 이상인 업체,,,,,,,,,,「중소기업기본법 시행령」 제8조 및 「소상공인 보호 및 지원에 관한 법률」 제2조에 따른 중·소기업·소상공인으로서「중·소기업·소상공인 및 장애인기업 확인요령」에 따라 발급된 중·소기업·소상공인 확인서(입찰마감일 기준 유효하여야 함)를 소지한 업체,,,,,,,,,,,
PPS-DEV-26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,｢중소기업기본법｣ 제2조에 따른 소기업( ｢소상공인 보호 및 지원에 관한 법률｣ 제2조에 따른 소상공인 포함)으로서 ｢중소기업 범위 및 확인에 관한 규정｣에 따라 발급된 <소기업·소상공인 확인서>를 소지한 자.,,,,｢중소기업기본법｣ 제2조에 따른 소기업( ｢소상공인 보호 및 지원에 관한 법률｣ 제2조에 따른 소상공인 포함)으로서 ｢중소기업 범위 및 확인에 관한 규정｣에 따라 발급된 <소기업·소상공인 확인서>를 소지한 자.,,,,,발주기관이 개최하는 사업설명회에 참석한 자(설명회 일정은 추후 안내),,
PPS-DEV-043,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
PPS-DEV-054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
PPS-DEV-066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"｢청소년기본법｣ 제18조 및 ｢청소년활동진흥법｣ 제11조에 따라 경기도 여주, 양평 관내에 등록된 청소년수련시설(청소년수련관, [기관(공공시설)], 유스호스텔)로서, 여성가족부 청소년수련시설 종합평가 결과 “적정”등급 이상을 받고, 청소년활동정보서비스([기관홈페이지] 인증된 프로그램을 보유·운영하는 업체이어야 합니다.",,,,,,,,,,,,,,,,,,,,,,,
PPS-DEV-077,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,,,,,낙찰자는 계약체결일까지 주된 영업소의 소재지를 강원특별자치도 내에 둔 사업자로 제한하며,,,,,,,,"「중소기업제품 구매촉진 및 판로지원에 관한 법률」에 의한 중소기업으로서, 소기업 ․ 소상공인확인서(중소기업현황 정보시스템 발급 또는 지방중소기업청 발급)를 소지한 업체이면서, 기타행사기획 및 대행서비스 부문의 직접생산확인증명서를 소지한 업체.",,,,"「중소기업제품 구매촉진 및 판로지원에 관한 법률」에 의한 중소기업으로서, 소기업 ․ 소상공인확인서(중소기업현황 정보시스템 발급 또는 지방중소기업청 발급)를 소지한 업체이면서",,,,,,,
PPS-DEV-078,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
PPS-DEV-079,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,본 사업은 전북특별자치도 내 본사를 둔 사업에 한해서 입찰 가능,,,,본 사업은 전북특별자치도 내 본사를 둔 사업에 한해서 입찰 가능,,,,,,,,,,,,,,,,,,,
PPS-DEV-081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
