id,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24
PPS-DEV-069,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,"「중소기업기본법」 제2조제2항에 따른 소기업자, 「소상공인기본법」 제2조에 따른 소상공인, 「벤처기업육성에 관한 특별조치법」 제2조제1항에 따른 벤처기업 또는 「중소기업창업 지원법」 제2조제2호에 따른 창업자",,,,"「중소기업기본법」 제2조제2항에 따른 소기업자, 「소상공인기본법」 제2조에 따른 소상공인, 「벤처기업육성에 관한 특별조치법」 제2조제1항에 따른 벤처기업 또는 「중소기업창업 지원법」 제2조제2호에 따른 창업자",,,,,,,
PPS-DEV-074,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
PPS-DEV-076,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,,,,,입찰공고일 전일부터 입찰일(낙찰자는 계약 체결일)까지 주된 영업소 소재지가 제주특별자치도에 있는 업체,,,,,,,,「중소기업기본법」제2조에 따른 중소기업 또는「소상공인 보호 및 지원에 관한 법률」제2조에 따른 소상공인으로서「중소기업 범위 및 확인에 관한 규정」에 따라 발급된 소기업·소상공인 확인서를 소지한 업체,,,,,,,,공동수급은 허용하지 않습니다.,,,
PPS-DEV-077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,공고기간 : 2026. 04. 02.(목) ~ 2026. 04. 13.(월) (12일간),
PPS-DEV-078,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,「중소기업제품 구매촉진 및 판로지원에 관한 법률」제9조 및 같은 법 시행령 제10조에 의한 직접생산확인증명서(세부품명 : 디자인서비스(8214150201)를 소지한 자,,,,,,,,,,,,
PPS-DEV-16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,"『중소기업제품 구매촉진 및 판로지원에 관한 법률』 제2조에 따른 소기업자로서 중소기업 범위 및 확인에 관한 규정에 따라 발급된 소기업, 소상공인확인서를 소지한 업체이어야 합니다",,,,,,,,,,,
PPS-DEV-03,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,,나. 공고일 기준 5년 이내 공공디자인 용역 실적이 3천만원 이상인 업체,,,,,,,,,,,,,,"다. 「벤처기업육성에 관한 특별법」 제2조 제1항에 따른 벤처기업, 「중소기업창업 지원법」에 따른 창업기업, 「중소기업기본법」 제2조 제2항에 따른 소기업 또는 「소상공인기본법」 제2조에 따른 소상공인으로서 「중소기업 범위 및 확인에 관한 규정」 등에 따라 발급된 관련 확인서를 소지한 업체",,,,"• 공동수급업체는 대표사를 포함하여 3개사 이내로 하고, 계약참여 최소지분율은 5% 이상으로 합니다.",,,
PPS-DEV-034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,「중소기업제품의 구매촉진 및 판로지원에 관한 법률 시행령」제2조의 2에 따라 소기업 또는 소상공인 확인서를 소지한 업체이어야 합니다.,,"납품(공급)업체의 경우, 해당 물품 제조사의 물품공급 및 지원(A/S)확약서를 입찰전까지 보유 및 제출하여야 합니다.",,공동수급이 허용되지 않습니다.,,,
PPS-DEV-036,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
PPS-DEV-038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,바. 공동수급이 허용되지 않습니다.,,,
PPS-DEV-040,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
PPS-DEV-041,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
PPS-DEV-042,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,
PPS-DEV-043,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
PPS-DEV-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
PPS-DEV-02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,외국 학술지 공급계약을 3천만원 이상 체결한 실적이 있는 자,,,,,,,,,,,,,,,,,,,,,
