id,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24
PPS-DEV-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
PPS-DEV-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
PPS-DEV-03,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,,,나. 공고일 기준 5년 이내 공공디자인 용역 실적이 3천만원 이상인 업체,,,,,,,,,,"다. 「벤처기업육성에 관한 특별법」 제2조 제1항에 따른 벤처기업, 「중소기업창업 지원법」에 따른 창업기업, 「중소기업기본법」 제2조 제2항에 따른 소기업 또는 「소상공인기본법」 제2조에 따른 소상공인으로서 「중소기업 범위 및 확인에 관한 규정」 등에 따라 발급된 관련 확인서를 소지한 업체",,"다. 「벤처기업육성에 관한 특별법」 제2조 제1항에 따른 벤처기업, 「중소기업창업 지원법」에 따른 창업기업, 「중소기업기본법」 제2조 제2항에 따른 소기업 또는 「소상공인기본법」 제2조에 따른 소상공인으로서 「중소기업 범위 및 확인에 관한 규정」 등에 따라 발급된 관련 확인서를 소지한 업체",,"다. 「벤처기업육성에 관한 특별법」 제2조 제1항에 따른 벤처기업, 「중소기업창업 지원법」에 따른 창업기업, 「중소기업기본법」 제2조 제2항에 따른 소기업 또는 「소상공인기본법」 제2조에 따른 소상공인으로서 「중소기업 범위 및 확인에 관한 규정」 등에 따라 발급된 관련 확인서를 소지한 업체",,,,"• 공동수급업체는 대표사를 포함하여 3개사 이내로 하고, 계약참여 최소지분율은 5% 이상으로 합니다.",,,
PPS-DEV-04,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"- 공고일 기준 최근 5년 간 단일 건으로 455,000,000원 이상(기초금액의 130% 이상)의 해양탐사 또는 수중조사 또는 침몰선박 조사·확인작업 분야 각종 작업 1건 이상 수행실적을 실적증명서로 제출이 가능한 업체",,,,,,,,,,,,,,,,,,,,,
PPS-DEV-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,② 공고일 전일부터 기산하여 최근 7년간 지표·시굴·정밀발굴을 포함한 매장유산 조사업무를 수행하고 그 준공금액이 단일 용역으로 5억원 이상인 실적을 보유한 자,,,,,,,,,,,,,,,,,,,,,
PPS-DEV-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
PPS-DEV-07,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,마. 본사(주된 영업소)의 소재지가 서울특별시에 있는 업체,,,,,,,,,,,,,,,,,,,
PPS-DEV-08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,,,,,,,,,,,,,「중소기업제품 구매촉진 및 판로지원에 관한 법률 시행령」제2조2에 의한 소기업·소상공인,,,,「중소기업제품 구매촉진 및 판로지원에 관한 법률 시행령」제2조2에 의한 소기업·소상공인,,,,본 용역은 공동수급을 허용하지 않습니다.,,,
PPS-DEV-09,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,,,,"마. 주된 영업소(본사 소재지를 말함)가 입찰공고일 현재 광주광역시, 전라남도의 관할구역 안에 있어야 합니다.",,,,Chipset: GB10 Grace Blackwell Superchip,,,,라.「중소기업기본법」제2조에 따른 중기업 또는 소기업이거나 「소상공인 보호 및 지원에 관한 법률」제2조에 따른 소상공인으로서 「중소기업 범위 및 확인에 관한 규정」에 따라 발급된 중․소기업․소상공인 확인서(중소기업확인서)를 소지한 업체이어야 합니다.,,,,,,,,,,,
PPS-DEV-10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,"지역제한(전북특별자치도, 충청남도, 충청북도)",,"지역제한(전북특별자치도, 충청남도, 충청북도)",,,,,,,,,,,,,,,,,
PPS-DEV-11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,주된 영업소가 입찰공고일 현재 서울특별시 관내에 있는 업체,,,,,,,,,,,,,,,,,,,
PPS-DEV-12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,- 제조사·모델명 : 아크론브라스(Akron Brass) 터보젯(TurboJet),,,,,,,,,,,,,,,
PPS-DEV-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
PPS-DEV-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
PPS-DEV-041,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
PPS-DEV-042,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
PPS-DEV-054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
