,rnum,publisher,creator,collectionDb,title,subjectKeyword,referenceIdentifier,alternativeTitle,extent,medium,temporal,reference,rights,source,charge,venue,time,description,subDescription,spatial,url
0,1,,공공데이터포털,시티투어데이터 DB,아리랑열차 연계형 시티투어,,,,순환형,,,시티투어문의처: 1644-9053 | 관리기관문의처: 033-560-2369,정선군 문화관광과,www.정선시티투어.com,성인 1만원중고등 8천원초등 5천원 미취학 3천원 유아 무료 | 이름 ''''정선'''' 무료코레일 ''''내일로 티켓'''' 50 할인,"탑승장소: 강원랜드, 민둥산역, 정선역",11:00~18:30,"코스정보: 강원랜드 > 민둥산역 >  정선역 > 정선읍 관광지(5일장, 아리힐스, 아라리촌, 정선아리랑극)> 화암면 관광지(화암동굴, 화암약수, 소금강) > 정선역 > 민둥산역 > 강원랜드","경유지정보: 삼탄아트마인, 민둥산, 정선양떼목장,정선아기동물농장 | 부가정보: 장날(2.7,12,17,22,27일) : 정선아리랑극 관람비장날 : 아라리촌, 스카이워크 관람관광가이드 탑승 해설 | 운행정보: 강원랜드 > 민둥산역 >  정선역 > 정선읍 관광지(5일장, 아리힐스, 아라리촌, 정선아리랑극)> 화암면 관광지(화암동굴, 화암약수, 소금강) > 정선역 > 민둥산역 > 강원랜드",강원도 정선군,-
1,2,,공공데이터포털,시티투어데이터 DB,4코스_메밀꽃백일홍로드,,,,순환형,,,시티투어문의처: 평창시티투어 홈페이지 사전예약 또는 현장구매 | 관리기관문의처: 033-330-2765,강원도 평창군청,http://tour.pc.go.kr/happy700bus,0 | 더위사냥축제 기간 중 운행,"탑승장소: 평창역, 더위사냥축제장, 평창바위공원, 평창전통시장",2019-07-26~2019-08-04 10:10~17:30,코스정보: 평창역→더위사냥축제장→평창전통시장→평창바위공원(회차)→더위사냥축제장→평창역,경유지정보: 장암산패러글라이딩장+보배체험목장 | 부가정보:  -  | 운행정보: 해당일 1대 2회 운행(평창더위사냥축제 기간),강원도 평창군,-
2,3,,공공데이터포털,시티투어데이터 DB,6코스_대관령눈꽃로드,,,,순환형,,,시티투어문의처: 평창시티투어 홈페이지 사전예약 또는 현장구매 | 관리기관문의처: 033-330-2767,강원도 평창군청,http://tour.pc.go.kr/happy700bus,미정 | 미정,"탑승장소: 평창역, 평창송어축제주차장, 진부역",2019-12중 10:10~17:30(대관령눈꽃축제 기간),코스정보: 평창역→송어축제장주차장→진부역→월정사→오대산산채마을(개별중식)→대관령눈꽃축제장→스키점프대→진부역→송어축제장주차장→평창역,경유지정보: 성보박물관+선재길+상원사+용평리조트+알펜시아리조트+대관령하늘목장+대관령양떼목장+대관령삼양목장 | 부가정보:  -  | 운행정보: 해당일 1대 1회 운행(대관령눈꽃축제 기간),강원도 평창군,-
3,4,,공공데이터포털,시티투어데이터 DB,종일코스,,,,고정형,,,"시티투어문의처: 033-570-3846, 033-575-1050 | 관리기관문의처: 033-570-3545",삼척시청,http://www.samcheok.go.kr/citytour/,6000,"탑승장소: 종합버스터미널, 쏠비치, 동해역",09:00~18:00,코스정보: 해양레일바이크-중앙시장-대금굴,경유지정보:  -  | 부가정보:  -  | 운행정보: 1일 1회,강원도 삼척시,-
4,5,,공공데이터포털,시티투어데이터 DB,정선알짜나들이,,,,순환형,,,시티투어문의처: 1644-9053 | 관리기관문의처: 033-560-2369,정선군 문화관광과,없음,성인 1만원중고등 8천원초등 5천원유아 무료 | 이름 ''''정선'''' 무료코레일 ''''내일로 티켓'''' 50 할인,"탑승장소: 강원랜드, 민둥산역, 정선역",11:00~18:30,"코스정보: 강원랜드 > 민둥산역 >  정선역 > 정선읍 관광지(5일장, 아리힐스, 아라리촌, 정선아리랑극)> 화암면 관광지(화암동굴, 화암약수, 소금강) > 정선역 > 민둥산역 > 강원랜드","경유지정보: 삼탄아트마인, 민둥산, 정선양떼목장,정선아기동물농장 | 부가정보: 장날(2.7,12,17,22,27일) : 정선아리랑극 관람비장날 : 아라리촌, 스카이워크 관람관광가이드 탑승 해설 | 운행정보: 강원랜드 > 민둥산역 >  정선역 > 정선읍 관광지(5일장, 아리힐스, 아라리촌, 정선아리랑극)> 화암면 관광지(화암동굴, 화암약수, 소금강) > 정선역 > 민둥산역 > 강원랜드",강원도 정선군,-
5,6,,공공데이터포털,시티투어데이터 DB,1코스_올림픽로드,,,,순환형,,,시티투어문의처: 평창시티투어 홈페이지 사전예약 또는 현장구매 | 관리기관문의처: 033-330-2762,강원도 평창군청,http://tour.pc.go.kr/happy700bus,"성인 27000원+소인 19000원+우대 21000원 | 소인(36개월~초6년),우대(65세 이상,1~3급 장애인,국가유공자 등)포함사항(버스이용료, 차량보험, 입장료)불포함사항(KTX요금, 중식, 여행자보험)","탑승장소: 평창역, 평창송어축제주차장, 진부역",2019-05-12~2020-5-11 10:10~17:30 (2코스~6코스 운행일 제외),코스정보: 평창역→송어축제장주차장→진부역→월정사→오대산산채마을(개별중식)→발왕산 관광케이블카 →스키점프대→진부역→송어축제장주차장→평창역,경유지정보: 성보박물관+선재길+상원사+용평리조트+알펜시아리조트+대관령하늘목장+대관령양떼목장+대관령삼양목장 | 부가정보:  -  | 운행정보: 매일 1대 1회 운행(2코스~6코스 운행일 제외),강원도 평창군,-
6,7,,공공데이터포털,시티투어데이터 DB,화천시티투어,,,,고정형,,,시티투어문의처: 033-440-2575 | 관리기관문의처: 033-440-2733,강원도 화천군청,http://tour.ihc.go.kr/hb/portal/sub02_03_01,"성인.청소년 8,000원 | 미취학아동(1세~7세) 무료 중식 및 일부체험료 미포함",탑승장소: 춘천역,매주 토 10:30~18:30,코스정보: 평화코스(안보권역):춘천역(출발)-월남파병용사만남의장-화천시장(중식)-칠성전망대-커피박물관-춘천역(도착),경유지정보: 감성테마문학공원+비래바위+붕어섬+산약초마을 | 부가정보: 민통선 통과 시 신분증 필수지참 | 운행정보: 10:30~18:30,강원도 화천군,-
7,8,,공공데이터포털,시티투어데이터 DB,1박2일코스,,,,고정형,,,시티투어문의처: 033-253-4567 | 관리기관문의처: 033-480-2183,양구군청,www.ygcitytour.kr,"성인 및 초중고등학생 15,000, 미취학아동 7,500원 | 관광지 입장료, 중식비, 체험비, 숙박비 별도",탑승장소: 춘천역 1번출구,1박2일,코스정보: 양구명품관-박수근미술관-해시계-두타연-양구백자박물관-국토정중앙천문대-1박-양구통일관(전쟁기념관)-을지전망대-제4땅굴-산양증식복원센터-양구자연생태공원,"경유지정보:  -  | 부가정보:  -  | 운행정보: 화~토요일(10명 이상 예약시 운영), 단 4~10월 매주 토요일 정기운행",강원도 양구군,-
8,9,,공공데이터포털,시티투어데이터 DB,두타연코스,,,,고정형,,,시티투어문의처: 033-253-4567 | 관리기관문의처: 033-480-2183,양구군청,www.ygcitytour.kr,"성인 및 초중고등학생 8,000, 미취학아동 4,000원 | 관광지 입장료, 중식비 별도",탑승장소: 춘천역 1번출구,8시간,코스정보: 양구명품관-박수근미술관-두타연-선사·근현대사박물관-양구명품관,"경유지정보:  -  | 부가정보:  -  | 운행정보: 화~토요일(10명 이상 예약시 운영), 단 4~10월 매주 토요일 정기운행",강원도 양구군,-
9,10,,공공데이터포털,시티투어데이터 DB,5코스_더위사냥로드,,,,순환형,,,시티투어문의처: 평창시티투어 홈페이지 사전예약 또는 현장구매 | 관리기관문의처: 033-330-2766,강원도 평창군청,http://tour.pc.go.kr/happy700bus,0 | 효석문화제 백일홍축제 기간 중 운행,"탑승장소: 송어축제장주차장, 효석문화제축제장, 평창역, 백일홍축제장",2019-09-07~2019-09-15 09:20~18:20,코스정보: 송어축제장주차장→효석문화제축제장→평창역→백일홍축제장(회차)→평창역→효석문화제축제장→송어축제장주차장,경유지정보: 허브나라+평창무이예술관+휘닉스평창+효석문학의숲+평창바위공원 | 부가정보:  -  | 운행정보: 해당일 1대 2회 운행(효석문화제 및 백일홍축제 기간),강원도 평창군,-
10,1,,공공데이터포털,시티투어데이터 DB,아리랑열차 연계형 시티투어,,,,순환형,,,시티투어문의처: 1644-9053 | 관리기관문의처: 033-560-2369,정선군 문화관광과,www.정선시티투어.com,성인 1만원중고등 8천원초등 5천원 미취학 3천원 유아 무료 | 이름 ''''정선'''' 무료코레일 ''''내일로 티켓'''' 50 할인,"탑승장소: 강원랜드, 민둥산역, 정선역",11:00~18:30,"코스정보: 강원랜드 > 민둥산역 >  정선역 > 정선읍 관광지(5일장, 아리힐스, 아라리촌, 정선아리랑극)> 화암면 관광지(화암동굴, 화암약수, 소금강) > 정선역 > 민둥산역 > 강원랜드","경유지정보: 삼탄아트마인, 민둥산, 정선양떼목장,정선아기동물농장 | 부가정보: 장날(2.7,12,17,22,27일) : 정선아리랑극 관람비장날 : 아라리촌, 스카이워크 관람관광가이드 탑승 해설 | 운행정보: 강원랜드 > 민둥산역 >  정선역 > 정선읍 관광지(5일장, 아리힐스, 아라리촌, 정선아리랑극)> 화암면 관광지(화암동굴, 화암약수, 소금강) > 정선역 > 민둥산역 > 강원랜드",강원도 정선군,-
11,2,,공공데이터포털,시티투어데이터 DB,4코스_메밀꽃백일홍로드,,,,순환형,,,시티투어문의처: 평창시티투어 홈페이지 사전예약 또는 현장구매 | 관리기관문의처: 033-330-2765,강원도 평창군청,http://tour.pc.go.kr/happy700bus,0 | 더위사냥축제 기간 중 운행,"탑승장소: 평창역, 더위사냥축제장, 평창바위공원, 평창전통시장",2019-07-26~2019-08-04 10:10~17:30,코스정보: 평창역→더위사냥축제장→평창전통시장→평창바위공원(회차)→더위사냥축제장→평창역,경유지정보: 장암산패러글라이딩장+보배체험목장 | 부가정보:  -  | 운행정보: 해당일 1대 2회 운행(평창더위사냥축제 기간),강원도 평창군,-
