"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20260601","중앙선","양평","3249","3172","20260604",""
"20260601","중앙선","오빈","343","347","20260604",""
"20260601","중앙선","원덕","384","352","20260604",""
"20260601","중앙선","용문","2021","1895","20260604",""
"20260601","중앙선","지평","70","51","20260604",""
"20260601","4호선","상계","21701","20302","20260604",""
"20260601","2호선","을지로입구","56953","59035","20260604",""
"20260601","2호선","을지로3가","28261","28340","20260604",""
"20260601","2호선","을지로4가","16594","16512","20260604",""
"20260601","2호선","동대문역사문화공원(DDP)","15567","17802","20260604",""
"20260601","2호선","신당","16028","16386","20260604",""
"20260601","2호선","상왕십리","15891","15752","20260604",""
"20260601","2호선","왕십리(성동구청)","17621","15331","20260604",""
"20260601","2호선","한양대","17767","20125","20260604",""
"20260601","2호선","뚝섬","28068","29941","20260604",""
"20260601","2호선","성수","57356","61729","20260604",""
"20260601","2호선","건대입구","38487","39740","20260604",""
"20260601","2호선","구의(광진구청)","31161","30773","20260604",""
"20260601","2호선","강변(동서울터미널)","27718","24843","20260604",""
"20260601","2호선","잠실나루","18826","18338","20260604",""
"20260601","2호선","잠실(송파구청)","76944","76484","20260604",""
"20260601","2호선","잠실새내","25199","24230","20260604",""
"20260601","2호선","종합운동장","9003","9892","20260604",""
"20260601","2호선","삼성(무역센터)","56780","53991","20260604",""
"20260601","2호선","선릉","65424","57733","20260604",""
"20260601","2호선","역삼","56039","63175","20260604",""
"20260601","2호선","강남","86885","85426","20260604",""
"20260601","2호선","교대(법원.검찰청)","34600","39179","20260604",""
"20260601","2호선","서초","23703","23333","20260604",""
"20260601","2호선","방배","20836","21483","20260604",""
"20260601","2호선","사당","42515","46128","20260604",""
"20260601","2호선","낙성대(강감찬)","30008","30189","20260604",""
"20260601","2호선","서울대입구(관악구청)","51685","50142","20260604",""
"20260601","2호선","봉천","27024","25534","20260604",""
"20260601","2호선","신림","59433","58473","20260604",""
"20260601","2호선","신대방","27069","26197","20260604",""
"20260601","2호선","구로디지털단지","63916","63089","20260604",""
"20260601","2호선","대림(구로구청)","27329","27953","20260604",""
"20260601","2호선","신도림","52530","49678","20260604",""
"20260601","2호선","문래","26175","26572","20260604",""
"20260601","2호선","영등포구청","26011","26885","20260604",""
"20260601","2호선","당산","21598","24322","20260604",""
"20260601","2호선","합정","30956","32621","20260604",""
"20260601","2호선","홍대입구","66919","69668","20260604",""
"20260601","2호선","신촌","41444","41784","20260604",""
"20260601","2호선","이대","20670","23146","20260604",""
"20260601","2호선","아현","12336","11704","20260604",""
"20260601","2호선","충정로(경기대입구)","11474","12196","20260604",""
"20260601","2호선","용답","3466","3554","20260604",""
"20260601","2호선","신답","1947","2243","20260604",""
"20260601","2호선","신설동","3976","3997","20260604",""
"20260601","2호선","도림천","1488","1517","20260604",""
"20260601","2호선","양천구청","7692","8162","20260604",""
"20260601","2호선","신정네거리","11125","11381","20260604",""
"20260601","2호선","용두(동대문구청)","2405","2445","20260604",""
"20260601","3호선","지축","8526","8785","20260604",""
"20260601","3호선","구파발","24641","23709","20260604",""
"20260601","3호선","연신내","40448","38478","20260604",""
"20260601","3호선","불광","17812","18783","20260604",""
"20260601","3호선","녹번","17470","16231","20260604",""
"20260601","3호선","홍제","20550","19732","20260604",""
"20260601","3호선","무악재","4788","4717","20260604",""
"20260601","3호선","독립문","8326","8574","20260604",""
"20260601","3호선","경복궁(정부서울청사)","27728","27630","20260604",""
"20260601","3호선","안국","27169","28010","20260604",""
"20260601","3호선","종로3가","12354","13767","20260604",""
"20260601","3호선","을지로3가","14000","13458","20260604",""
"20260601","3호선","충무로","2","0","20260604",""
"20260601","3호선","동대입구","12406","13996","20260604",""
"20260601","3호선","약수","13977","13639","20260604",""
"20260601","3호선","금호","8904","8396","20260604",""
"20260601","3호선","옥수","10142","10458","20260604",""
"20260601","3호선","압구정","32682","34840","20260604",""
"20260601","3호선","신사","28181","29322","20260604",""
"20260601","3호선","잠원","8333","8154","20260604",""
