"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-09-15 ~ 2026-09-14"
"실거래구분 : 오피스텔(전월세)"
"주소구분 : 도로명주소"
"시도 : 서울특별시"
"시군구 : 전체"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)"
"1","서울특별시 강남구 역삼동","837-13","0837","0013","강남역 와이즈 플레이스","월세","23.8700","202609","11","1,000","95","14","2013","강남대로66길 14","202611~202711","신규","-","",""
"2","서울특별시 동대문구 신설동","100-2","0100","0002","청광플러스원 청계Ⅱ","월세","17.5600","202609","11","15,500","30","3","2021","청계천로 439","202610~202710","신규","-","",""
"3","서울특별시 성동구 상왕십리동","750","0750","0000","노블리안","월세","30.8100","202609","11","15,000","15","2","2003","왕십리로 390","202611~202811","갱신","-","15,000","10"
"4","서울특별시 성동구 성수동2가","277-37","0277","0037","성원상떼뷰오피스텔","월세","28.0800","202609","11","500","80","3","2003","아차산로15길 10","202609~202809","신규","-","",""
"5","서울특별시 강남구 자곡동","596","0596","0000","강남 더샵라르고","월세","22.0200","202609","11","1,000","79","6","2014","자곡로 201","202610~202710","신규","-","",""
"6","서울특별시 강남구 자곡동","662","0662","0000","강남 지웰홈스","월세","31.9900","202609","11","15,000","40","10","2014","자곡로 204-5","202610~202810","신규","-","",""
"7","서울특별시 종로구 숭인동","1408","1408","0000","알 트라몬토 오피스텔","월세","38.6600","202609","11","5,000","160","15","2023","난계로29길 19-3","202611~202811","신규","-","",""
"8","서울특별시 중구 신당동","340-123","0340","0123","(340-123)","월세","22.0800","202609","11","11,800","10","3","2003","다산로14길 11","202611~202811","신규","-","",""
"9","서울특별시 강남구 역삼동","837-13","0837","0013","강남역 와이즈 플레이스","월세","23.8700","202609","11","1,000","95","14","2013","강남대로66길 14","202611~202711","신규","-","",""
"10","서울특별시 종로구 숭인동","1368","1368","0000","숭인한성아펠시티","월세","20.5100","202609","11","500","138","3","2021","난계로 257","202609~202703","신규","-","",""
"11","서울특별시 광진구 구의동","243-71","0243","0071","구의동 벨라로사 오피스텔","월세","20.9400","202609","11","19,500","3","7","2019","아차산로 405","202610~202810","갱신","-","19,500","0"
"12","서울특별시 광진구 화양동","18-9","0018","0009","화양 디펠리체","월세","20.4500","202609","11","1,000","84","10","2019","광나루로 358","202610~202810","신규","-","",""
"13","서울특별시 종로구 사직동","9","0009","0000","광화문 스페이스본","전세","39.5400","202609","11","31,000","0","4","2008","사직로8길 4","202609~202809","갱신","-","31,000","0"
"14","서울특별시 강남구 역삼동","837-13","0837","0013","강남역 와이즈 플레이스","월세","23.8700","202609","11","1,000","95","14","2013","강남대로66길 14","202611~202711","신규","-","",""
"15","서울특별시 은평구 진관동","100-3","0100","0003","아이파크 포레스트 게이트","월세","24.5400","202609","11","1,000","67","4","2013","통일로 1010","202610~202710","신규","-","",""
"16","서울특별시 중랑구 면목동","1546","1546","0000","행복오피스텔","월세","62.8800","202609","11","20,000","62","3","2020","겸재로 240","202610~202810","갱신","사용","20,000","55"
"17","서울특별시 중랑구 면목동","1541","1541","0000","주함해븐타워 원(면목동)","월세","20.8000","202609","11","17,000","6","14","2020","봉우재로 130","202610~202810","갱신","-","17,000","4"
"18","서울특별시 성북구 석관동","124-21","0124","0021","고향빌딩","월세","22.0900","202609","11","2,000","55","2","2005","한천로76길 30","202610~202810","신규","-","",""
"19","서울특별시 중랑구 면목동","1541","1541","0000","주함해븐타워 원(면목동)","월세","18.0400","202609","11","16,500","7","14","2020","봉우재로 130","202611~202811","갱신","-","16,500","4"
"20","서울특별시 도봉구 창동","647-11","0647","0011","북한산현대홈시티","월세","60.9700","202609","11","3,000","105","9","2005","도봉로104길 49-21","202611~202811","갱신","사용","3,000","100"
"21","서울특별시 도봉구 도봉동","596-9","0596","0009","퍼스트빌","월세","19.0800","202609","11","1,000","40","5","2003","도봉로165길 14","202609~202709","갱신","-","1,000","38"
"22","서울특별시 도봉구 창동","623-48","0623","0048","북한산 드림시티","월세","29.8900","202609","11","2,000","95","11","2020","도봉로110마길 42","202610~202809","신규","-","",""
"23","서울특별시 중랑구 망우동","523-27","0523","0027","한울파크빌","전세","32.1300","202609","11","26,000","0","3","2025","상봉로 64","202609~202809","신규","-","",""
"24","서울특별시 성북구 삼선동4가","351-1","0351","0001","성신다빈치","월세","17.7200","202609","11","23,000","10","14","2024","보문로 186","202611~202811","갱신","-","23,000","10"
"25","서울특별시 금천구 가산동","233-5","0233","0005","가산센트럴 푸르지오시티","월세","17.6900","202609","11","1,000","65","5","2020","디지털로10길 69","202609~202709","신규","-","",""
"26","서울특별시 강서구 마곡동","784-9","0784","0009","마곡오드카운티2차","월세","17.3600","202609","11","11,700","12","7","2017","강서로 433","202610~202810","신규","-","",""
"27","서울특별시 강서구 마곡동","784","0784","0000","마곡경동미르웰","월세","17.9600","202609","11","3,000","60","7","2015","강서로 455","202610~202710","갱신","-","3,000","58"
"28","서울특별시 금천구 독산동","1006-97","1006","0097","신독산역 갤러리 휴리움","전세","29.7700","202609","11","23,000","0","3","2022","벚꽃로10길 77","202612~202812","갱신","-","20,475","0"
"29","서울특별시 금천구 독산동","1006-124","1006","0124","더시크릿독산","전세","24.2200","202609","11","22,900","0","3","2021","범안로12가길 28-8","202611~202811","신규","-","",""
"30","서울특별시 금천구 독산동","1156","1156","0000","금천 롯데캐슬 골드파크 4차","월세","21.9900","202609","11","14,300","19","7","2019","시흥대로 315","202609~202809","갱신","사용","14,300","15"
"31","서울특별시 영등포구 영등포동3가","20","0020","0000","WD스퀘어","월세","15.6600","202609","11","1,000","60","7","2020","영중로4길 9","202610~202710","갱신","-","14,580","0"
"32","서울특별시 강서구 마곡동","773","0773","0000","힐스테이트 에코 마곡역","월세","19.9700","202609","11","10,000","30","7","2017","마곡중앙로 76","202609~202809","신규","-","",""
"33","서울특별시 강서구 마곡동","760","0760","0000","마곡나루역보타닉푸르지오시티","월세","22.1700","202609","11","1,000","80","4","2017","마곡중앙5로 6","202609~202709","신규","-","",""
"34","서울특별시 강서구 마곡동","773-1","0773","0001","마곡역센트럴푸르지오시티","월세","39.2300","202609","11","33,500","5","9","2016","마곡중앙6로 10","202611~202811","갱신","사용","33,500","0"
"35","서울특별시 금천구 가산동","535-7","0535","0007","G밸리 하우스디 어반","전세","19.3700","202609","11","14,000","0","6","2019","서부샛길 714","202610~202810","신규","-","",""
"36","서울특별시 강서구 공항동","72-20","0072","0020","크라운타워","월세","28.4300","202609","11","14,000","40","12","2024","남부순환로 1","202612~202812","신규","-","",""
"37","서울특별시 금천구 시흥동","984-54","0984","0054","E-스타파크Ⅱ","월세","54.8300","202609","11","17,926","15","2","2022","시흥대로 117","202610~202809","갱신","-","7,238","75"
"38","서울특별시 서초구 신원동","660","0660","0000","심플리시티","월세","28.9700","202609","11","2,000","102","1","2018"," ","202610~202710","신규","-","",""
"39","서울특별시 영등포구 당산동5가","9-3","0009","0003","당산역해링턴타워","월세","23.9200","202609","11","500","94","10","2015","당산로 205","202610~202710","신규","-","",""
"40","서울특별시 영등포구 당산동5가","8","0008","0000","데시앙루브 오피스텔","월세","28.2400","202609","11","2,000","74","9","2014","당산로 203","202612~202712","갱신","-","2,000","70"
"41","서울특별시 영등포구 여의도동","525","0525","0000","브라이튼 여의도","전세","29.9800","202609","11","54,000","0","27","2023","국제금융로 39","202610~202810","신규","-","",""
"42","서울특별시 송파구 잠실동","194","0194","0000","잠실아이파크","월세","24.4200","202609","11","1,000","110","10","2013","올림픽로8길 20","202610~202710","갱신","-","1,000","110"
"43","서울특별시 동작구 상도1동","519-1","0519","0001","더포레스트","월세","14.2900","202609","11","15,000","25","9","2021","매봉로 25","202609~202809","신규","-","",""
"44","서울특별시 서초구 서초동","1584-6","1584","0006","DK밸리뷰시티","월세","35.1700","202609","11","13,930","11","2","2019","반포대로14길 14","202610~202809","갱신","-","13,532","9"
"45","서울특별시 관악구 신림동","1639-6","1639","0006","선인타운","월세","16.2700","202609","11","1,000","75","8","2017","관천로 44","202609~202809","갱신","-","1,000","72"
"46","서울특별시 영등포구 양평동2가","1-3","0001","0003","힘멜하임","월세","18.8400","202609","11","14,200","5","2","2014","선유서로 59","202610~202810","신규","-","",""
"47","서울특별시 영등포구 영등포동7가","94-101","0094","0101","한가람 더원 201동","전세","24.9700","202609","11","26,000","0","4","2022","버드나루로 59","202610~202810","신규","-","",""
"48","서울특별시 영등포구 당산동1가","260","0260","0000","더채움오피스텔","월세","27.9400","202609","11","27,000","10","4","2020","양산로 142","202611~202811","신규","-","",""
"49","서울특별시 강서구 염창동","310","0310","0000","아네스트염창","월세","18.8400","202609","11","2,000","63","2","2019","공항대로 593","202610~202810","갱신","-","1,000","65"
"50","서울특별시 마포구 성산동","591-6","0591","0006","상암 퍼스티지 더올림 오피스텔","월세","17.1400","202609","11","1,000","79","6","2018","모래내로1길 17","202609~202709","갱신","-","1,000","75"
"51","서울특별시 마포구 서교동","458-16","0458","0016","엘리트오피스텔","월세","29.7500","202609","11","1,000","66","9","2003","잔다리로 102","202609~202709","신규","-","",""
"52","서울특별시 강서구 등촌동","656-36","0656","0036","아이디움","월세","17.3100","202609","11","8,500","13","7","2014","화곡로64길 28","202610~202810","신규","-","",""
"53","서울특별시 강동구 천호동","287-5","0287","0005","(287-5)","월세","17.2200","202609","11","8,000","15","2","2012","상암로12길 8","202610~202810","신규","-","",""
"54","서울특별시 강동구 천호동","425-5","0425","0005","대우 한강 베네시티","전세","55.2400","202609","11","29,000","0","8","2007","올림픽로 664","202610~202810","갱신","-","28,000","0"
"55","서울특별시 송파구 문정동","643-1","0643","0001","엠스테이트","월세","26.1500","202609","11","18,400","35","9","2016","법원로 114","202610~202710","신규","-","",""
"56","서울특별시 강동구 강일동","679-3","0679","0003","강일리슈빌에스","월세","18.5300","202609","11","500","60","9","2016","아리수로 419","202609~202709","갱신","사용","500","60"
"57","서울특별시 송파구 방이동","41-12","0041","0012","송파드림팰리스","월세","42.1700","202609","11","3,000","195","9","2023","올림픽로34길 3-30","202611~202711","신규","-","",""
"58","서울특별시 송파구 방이동","48-2","0048","0002","어반로프트 올림픽파크","월세","29.8800","202609","11","30,000","5","14","2021","위례성대로2길 11","202610~202710","갱신","-","30,000","5"
"59","서울특별시 강동구 강일동","677-4","0677","0004","유러피안하우스I","월세","13.4400","202609","11","500","45","7","2013","아리수로91길 32","202609~202709","신규","-","",""
"60","서울특별시 강동구 천호동","452-4","0452","0004","이안 강동 컴홈스테이","월세","23.6500","202609","11","10,000","62","12","2021","천호대로161길 7","202611~202811","신규","-","",""
"61","서울특별시 강동구 강일동","679-3","0679","0003","강일리슈빌에스","월세","18.5300","202609","11","500","60","9","2016","아리수로 419","202609~202709","갱신","사용","500","60"
"62","서울특별시 강동구 천호동","580","0580","0000","강동 중흥S-클래스","월세","37.9000","202609","11","20,000","57","32","2024","올림픽로78길 60","202610~202810","갱신","사용","20,000","50"
"63","서울특별시 강동구 천호동","414","0414","0000","두산위브센티움","월세","31.3700","202609","11","12,000","40","16","2004","올림픽로70길 61","202611~202811","신규","-","",""
"64","서울특별시 강동구 암사동","463-4","0463","0004","까사팔공육","월세","20.3300","202609","10","1,000","63","4","2018","올림픽로 806","202609~202809","신규","-","",""
"65","서울특별시 송파구 가락동","78-1","0078","0001","한화오벨리스크","월세","34.9000","202609","10","16,500","6","12","2004","중대로 127","202609~202809","신규","-","",""
"66","서울특별시 강동구 성내동","244-4","0244","0004","(244-4)","월세","29.9600","202609","10","18,375","3","5","2014","천호대로176길 10-6","202609~202809","갱신","-","18,375","0"
"67","서울특별시 강동구 천호동","580","0580","0000","강동 중흥S-클래스","월세","37.9000","202609","10","3,000","137","27","2024","올림픽로78길 60","202610~202810","갱신","사용","3,000","130"
"68","서울특별시 강동구 천호동","541","0541","0000","은슬림","월세","30.3100","202609","10","9,007","23","8","2021","진황도로23길 22","202610~202809","갱신","-","4,630","48"
"69","서울특별시 강동구 천호동","541","0541","0000","은슬림","월세","30.3100","202609","10","11,255","11","9","2021","진황도로23길 22","202610~202809","갱신","-","4,677","48"
"70","서울특별시 강동구 천호동","452-4","0452","0004","이안 강동 컴홈스테이","월세","39.5700","202609","10","22,000","95","7","2021","천호대로161길 7","202610~202810","신규","-","",""
"71","서울특별시 강동구 천호동","452-6","0452","0006","드림하우스","전세","18.0200","202609","10","15,400","0","2","2018","천호대로161길 15-6","202609~202709","갱신","-","15,400","0"
"72","서울특별시 강동구 둔촌동","435-1","0435","0001","한울둔촌베아체","전세","27.9500","202609","10","31,000","0","8","2021","양재대로102길 17","202610~202810","신규","-","",""
"73","서울특별시 송파구 거여동","604-2","0604","0002","송파 풍산 리치안","월세","20.4700","202609","10","5,500","64","8","2022","위례서로 244","202611~202811","신규","-","",""
"74","서울특별시 송파구 거여동","604-4","0604","0004","우성르보아 위례","전세","59.8000","202609","10","53,000","0","4","2023","위례서로 234","202611~202811","신규","-","",""
"75","서울특별시 송파구 문정동","622","0622","0000","송파한화오벨리스크","전세","26.8200","202609","10","16,000","0","7","2013","충민로 5","202610~202810","갱신","-","2,000","88"
"76","서울특별시 송파구 문정동","622","0622","0000","송파한화오벨리스크","월세","26.8200","202609","10","16,700","30","5","2013","충민로 5","202610~202810","신규","-","",""
"77","서울특별시 송파구 문정동","620","0620","0000","송파푸르지오시티","월세","30.0000","202609","10","2,000","105","4","2013","새말로 62","202609~202709","신규","-","",""
"78","서울특별시 송파구 문정동","643-1","0643","0001","엠스테이트","전세","26.1500","202609","10","24,000","0","15","2016","법원로 114","202610~202704","갱신","-","24,000","0"
"79","서울특별시 송파구 문정동","624","0624","0000","송파 아이파크","전세","49.7000","202609","10","41,300","0","2","2015","법원로 55","202610~202810","갱신","사용","39,375","0"
"80","서울특별시 송파구 문정동","652","0652","0000","송파법조타운푸르지오시티","월세","20.4500","202609","10","18,400","22","11","2018","법원로4길 5","202609~202809","갱신","사용","19,000","15"
"81","서울특별시 송파구 문정동","652-4","0652","0004","힐스테이트에코문정","월세","20.7900","202609","10","18,000","25","12","2018","법원로4길 10","202610~202810","신규","-","",""
"82","서울특별시 송파구 방이동","49-11","0049","0011","한 스위트 올림픽파크","월세","15.9800","202609","10","15,750","25","16","2020","백제고분로51길 9","202611~202811","신규","-","",""
"83","서울특별시 강동구 강일동","677-3","0677","0003","트리피움오피스텔","월세","15.9100","202609","10","1,000","50","3","2015","아리수로91길 28","202609~202709","신규","-","",""
"84","서울특별시 구로구 오류동","33-1","0033","0001","예성라온팰리스","전세","137.7800","202609","10","40,000","0","11","2007","경인로 236","202609~202809","갱신","-","38,000","0"
"85","서울특별시 강서구 마곡동","758-2","0758","0002","마곡일성트루엘플래닛","월세","21.4300","202609","10","1,000","74","11","2016","마곡중앙로 161-22","202610~202710","갱신","사용","1,000","70"
"86","서울특별시 강서구 마곡동","793","0793","0000","유림트윈파크","월세","33.3900","202609","10","20,700","13","5","2015","강서로 419","202611~202811","신규","-","",""
"87","서울특별시 영등포구 영등포동3가","1-1","0001","0001","여의도 하이엔드 퍼스트","월세","45.0400","202609","10","1,000","212","19","2025","경인로 889","202611~202710","갱신","사용","1,000","212"
"88","서울특별시 강서구 마곡동","758-3","0758","0003","마곡헤리움2차","월세","22.5100","202609","10","1,000","80","12","2016","마곡중앙5로1길 25","202609~202709","신규","-","",""
"89","서울특별시 금천구 가산동","141-9","0141","0009","더아임","월세","17.1800","202609","10","1,000","80","10","2025","가산로 150","202609~202709","신규","-","",""
"90","서울특별시 강서구 마곡동","758-3","0758","0003","마곡헤리움2차","월세","22.5100","202609","10","1,000","80","12","2016","마곡중앙5로1길 25","202609~202709","신규","-","",""
"91","서울특별시 금천구 가산동","233-5","0233","0005","가산센트럴 푸르지오시티","월세","17.6200","202609","10","1,000","65","9","2020","디지털로10길 69","202610~202710","신규","-","",""
"92","서울특별시 강서구 마곡동","758","0758","0000","마곡시티오피스텔","월세","22.5100","202609","10","14,600","15","7","2016","마곡서로 170","202610~202810","신규","-","",""
"93","서울특별시 구로구 오류동","31-280","0031","0280","구로예미지어반코어","월세","70.3100","202609","10","3,000","180","17","2023","경인로 233","202610~202810","신규","-","",""
"94","서울특별시 금천구 시흥동","998-10","0998","0010","HEY NEST","전세","20.1400","202609","10","8,490","0","3","2003","금하로5길 13","202612~202812","신규","-","",""
"95","서울특별시 금천구 독산동","333-14","0333","0014","SHIN YOUNG","월세","55.9300","202609","10","18,205","15","3","2022","범안로11길 60","202610~202809","갱신","-","7,352","76"
"96","서울특별시 금천구 독산동","333-14","0333","0014","SHIN YOUNG","월세","55.9300","202609","10","19,332","16","10","2022","범안로11길 60","202610~202809","갱신","-","7,805","80"
"97","서울특별시 금천구 독산동","143-1","0143","0001","아네스트오피스텔","월세","17.2400","202609","10","1,000","55","5","2014","남부순환로 1314","202611~202811","신규","-","",""
"98","서울특별시 금천구 가산동","144-5","0144","0005","G밸리 노블루체 스위트","월세","29.7500","202609","10","23,400","5","6","2020","가산로9길 17","202610~202810","갱신","-","23,800","0"
"99","서울특별시 구로구 구로동","97","0097","0000","로제리움2차","월세","18.5400","202609","10","500","57","3","2014","가마산로26길 5","202610~202710","신규","-","",""
"100","서울특별시 구로구 신도림동","432-1","0432","0001","신도림 에스케이뷰","전세","85.9200","202609","10","62,000","0","3","2006","경인로 638","202611~202811","신규","-","",""
"101","서울특별시 강남구 자곡동","600","0600","0000","강남 푸르지오시티 1차","월세","25.0600","202609","10","15,300","20","4","2014","자곡로 191","202609~202809","갱신","-","16,400","12"
"102","서울특별시 강남구 대치동","943-24","0943","0024","신안메트로칸","전세","26.7300","202609","10","20,000","0","16","2004","테헤란로88길 10","202611~202811","신규","-","",""
"103","서울특별시 강남구 역삼동","708-16","0708","0016","능현오피스텔","월세","29.6500","202609","10","17,000","20","2","2004","선릉로89길 16","202611~202711","갱신","-","17,000","17"
"104","서울특별시 중구 황학동","1257","1257","0000","한양립스 이노와이즈","전세","21.7200","202609","10","19,000","0","6","2021","난계로15길 63","202611~202811","신규","-","",""
"105","서울특별시 중구 중림동","363","0363","0000","쌍용 더 플래티넘 서울역","월세","17.5600","202609","10","1,000","125","21","2023","청파로 454","202610~202810","갱신","사용","1,000","120"
"106","서울특별시 동대문구 용두동","255-49","0255","0049","청계 한양아이클래스","월세","18.7900","202609","10","1,000","55","8","2019","청계천로 461","202609~202709","신규","-","",""
"107","서울특별시 성동구 성수동2가","277-101","0277","0101","성수동램킨중흥S클래스오피스텔","전세","18.3300","202609","10","13,000","0","7","2013","아차산로13길 16","202610~202810","신규","-","",""
"108","서울특별시 성동구 용답동","238-12","0238","0012","서희스타힐스리버파크","월세","20.2100","202609","10","12,000","15","7","2016","가람길 287","202610~202810","신규","-","",""
"109","서울특별시 중구 중림동","363","0363","0000","쌍용 더 플래티넘 서울역","전세","17.5600","202609","10","25,200","0","17","2023","청파로 454","202609~202809","갱신","사용","24,000","0"
"110","서울특별시 용산구 문배동","8-5","0008","0005","용산 더힐 센트럴파크뷰","월세","23.1300","202609","10","26,800","8","17","2022","청파로 205-6","202610~202810","신규","-","",""
"111","서울특별시 용산구 한강로2가","422","0422","0000","래미안 용산 더 센트럴","전세","51.8400","202609","10","54,390","0","13","2017","한강대로 95","202609~202809","갱신","-","51,800","0"
"112","서울특별시 동대문구 용두동","236-1","0236","0001","신설동역대우아이빌","전세","30.2900","202609","10","13,200","0","11","2004","왕산로 52","202610~202809","신규","-","",""
"113","서울특별시 광진구 화양동","21-20","0021","0020","광진캠퍼스시티","월세","16.0800","202609","10","12,000","30","9","2017","동일로 178","202610~202810","신규","-","",""
"114","서울특별시 마포구 도화동","571","0571","0000","나눔빌딩","월세","26.2500","202609","10","1,000","86","9","2015","도화길 43","202611~202711","갱신","-","1,000","82"
"115","서울특별시 서대문구 충정로3가","465","0465","0000","충정리시온","월세","24.7000","202609","10","10,000","30","3","2004","서소문로 27","202609~202709","신규","-","",""
"116","서울특별시 도봉구 도봉동","62-43","0062","0043","도봉 투웨니퍼스트 2단지","전세","29.6600","202609","10","18,500","0","6","2017","도봉로180길 28","202611~202811","갱신","-","18,000","0"
"117","서울특별시 동대문구 장안동","371-4","0371","0004","장안동 퍼스티지 더올림","전세","23.2500","202609","10","18,000","0","14","2020","장한로 121","202610~202810","신규","-","",""
