사업장명,소재지도로명주소,소재지지번주소,위도,경도,폐기물분류명,폐기물세부종류명,처리방법내용,전화번호,배출량,신고기준연도,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
경상남도소방본부119특수대응단119항공대,경상남도 합천군 용주면 고품부흥1길 10-28,경상남도 합천군 용주면 고품리 910-210,35.5545936329,128.1146876734,의료폐기물,,,,0.36,2025,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
합천축협 유전자원센터,경상남도 합천군 적중면 정토양림길 42-30,경상남도 합천군 적중면 정토리 329-8,35.5321902746,128.2608816319,의료폐기물,,,,1.5,2025,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
대병구급대,경상남도 합천군 대병면 신성동길 23,경상남도 합천군 대병면 회양리 896-1,35.5214322225,128.0147070627,의료폐기물,,,,0.36,2025,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
덕곡지역대,경상남도 합천군 덕곡면 율지2길 13-9,경상남도 합천군 덕곡면 율지리 144-7,35.6151959482,128.360166011,의료폐기물,,,,0.36,2025,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
북부119안전센터,경상남도 합천군 야로면 월광2길 5,경상남도 합천군 야로면 월광리 241-4,35.7343117551,128.1566329969,의료폐기물,,,,0.36,2025,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
삼가119안전센터,경상남도 합천군 삼가면 삼가로 287,경상남도 합천군 삼가면 소오리 17-3,35.4084501163,128.1199755897,의료폐기물,,,,0.36,2025,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
초계119안전센터,경상남도 합천군 초계면 양동로 6-16,경상남도 합천군 초계면 초계리 409-7,35.5568996138,128.2616495082,의료폐기물,,,,0.36,2025,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
합천119안전센터,경상남도 합천군 합천읍 인덕로 2453,경상남도 합천군 합천읍 서산리 860,35.5728082963,128.1485374566,의료폐기물,,,,0.36,2025,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
가야연합의원,경상남도 합천군 가야면 황산3길 8,경상남도 합천군 가야면 야천리 457-8,35.7615041725,128.1382214279,의료폐기물,,,,0.78,2023,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
합천동물병원,경상남도 합천군 합천읍 동서로 51-1,경상남도 합천군 합천읍 합천리 550,35.5672422206,128.1581944195,의료폐기물,,,,0.3,2023,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
연우실버케어주간보호센터,경상남도 합천군 합천읍 서산길 77,경상남도 합천군 합천읍 서산리 816-7,35.5733596967,128.1465553103,의료폐기물,,,,0.3,2022,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
경상남도 합천군 농업기술센터(축산과),경상남도 합천군 용주면 고품부흥1길 7-3,경상남도 합천군 용주면 고품리 910-338,35.551546,128.111956,의료폐기물,,,,4.32,2020,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
본치과의원,경상남도 합천군 합천읍 동서로 95(3층 301호),경상남도 합천군 합천읍 합천리 322-5,35.5666765082,128.162819391,의료폐기물,,,,0.312,2020,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
새로이 치과의원,경상남도 합천군 합천읍 옥산로 68(3층),경상남도 합천군 합천읍 합천리 413-15,35.5681252735,128.1626860109,의료폐기물,,,,0.312,2020,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
합천속편한내과,경상남도 합천군 합천읍 옥산로 62(2층),경상남도 합천군 합천읍 합천리 413-3,35.5682216222,128.1620778642,의료폐기물,,,,0.96,2019,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
정담한의원,경상남도 합천군 삼가면 삼가중앙2길 7(1층),경상남도 합천군 삼가면 일부리 927-2,35.4137702021,128.121664386,의료폐기물,,,,0.36,2019,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
합천 참 정형외과의원,경상남도 합천군 합천읍 대야로 894(2층),경상남도 합천군 합천읍 대야로 894(2층),35.5680104608,128.1636381465,의료폐기물,,,,1.5,2018,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
(의)용성의료재단 합천고려요양병원,경상남도 합천군 대양면 대야로 737-20,경상남도 합천군 대양면 정양리 587-5,35.5530403574,128.1612807182,의료폐기물,,,,79.68,2018,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
태민동물병원,경상남도 합천군 합천읍 옥산로 16(101호),경상남도 합천군 합천읍 합천리 1256,35.568754324,128.1566733525,의료폐기물,,,,2.724,2016,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
소리샘이비인후과의원,경상남도 합천군 합천읍 옥산로 86,경상남도 합천군 합천읍 합천리 434-6,35.5679536156,128.1644010654,의료폐기물,,,,0.516,2016,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
합천밝은안과,경상남도 합천군 합천읍 옥산로 70,경상남도 합천군 합천읍 합천리 413-9,35.5681044773,128.1628612036,의료폐기물,,,,0.42,2015,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
의료법인 유원의료재단 합천요양병원,경상남도 합천군 합천읍 신소양2길 40,경상남도 합천군 합천읍 영창리 133,35.5813405692,128.1674868119,의료폐기물,,,,52.2,2015,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
합천 자연한의원,경상남도 합천군 합천읍 대야로 889,경상남도 합천군 합천읍 합천리 411-1,35.5677999187,128.1629951227,의료폐기물,,,,0.3,2015,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
합천미치과,경상남도 합천군 합천읍 대야로 895(2층),경상남도 합천군 합천읍 합천리 418-5,35.5684795556,128.1631245149,의료폐기물,,,,0.444,2014,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
우리한의원,경상남도 합천군 합천읍 옥산로 88,경상남도 합천군 합천읍 합천리 435-4,35.5679750072,128.1646589335,의료폐기물,,,,0.3,2014,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
초계시장한의원,경상남도 합천군 초계면 초계중앙로 61,경상남도 합천군 초계면 초계리 50-1,35.559314875,128.2668344988,의료폐기물,,,,0.3,2014,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
한천의료생활협동조합,경상남도 합천군 합천읍 충효로 98-14,경상남도 합천군 합천읍 합천리 415-2,35.5686473269,128.1629791321,의료폐기물,,,,2.16,2013,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
(의)용성의려재단 삼성합천병원,경상남도 합천군 합천읍 대야로 876,경상남도 합천군 합천읍 합천리 325-5,35.5664697542,128.1633341583,의료폐기물,,,,35.8,2012,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
탑치과,경상남도 합천군 합천읍 대야로 891(2층),경상남도 합천군 합천읍 합천리 413-7,35.5680036362,128.1630472623,의료폐기물,,,,0.312,2012,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
초계한의원,경상남도 합천군 초계면 초계중앙로 56,경상남도 합천군 초계면 초계리 107-1,35.5590739259,128.2660157747,의료폐기물,,,,0.3,2012,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
강형모동물병원,경상남도 합천군 합천읍 충효로 106-4(202호),경상남도 합천군 합천읍 합천리 1547,35.5696763569,128.1620356677,의료폐기물,,,,0.168,2012,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
미타노인요양원,경상남도 합천군 적중면 우회로 1198,경상남도 합천군 적중면 옥두리 630-6,35.5512322045,128.2929645152,의료폐기물,,,,0.3,2011,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
사회복지법인에벤에셀,경상남도 합천군 야로면 가야산로 728,경상남도 합천군 야로면 월광리 245,35.735457799,128.1559071598,의료폐기물,,,,2.46,2011,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
광명노인요양원,경상남도 합천군 가야면 치인5길 118,경상남도 합천군 가야면 치인리 352,35.7999404235,128.057609755,의료폐기물,,,,0.3,2011,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
이사랑치과의원,경상남도 합천군 가야면 가야시장로 67,경상남도 합천군 가야면 황산리 15-6,35.7606080052,128.1387071073,의료폐기물,,,,0.192,2011,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
㈜합천장례식장,경상남도 합천군 대양면 동부로 64-2,경상남도 합천군 대양면 정양리 98-3,35.5554284762,128.168935723,의료폐기물,,,,0.18,2010,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
합천노인복지센터,경상남도 합천군 삼가면 삼가로 10-13,경상남도 합천군 삼가면 어전리 438,35.3828119089,128.1170981663,의료폐기물,,,,0.324,2010,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
노블하임노인전문요양원,경상남도 합천군 용주면 연촌우곡길 70,경상남도 합천군 용주면 월평리 781,35.5666110564,128.1158409789,의료폐기물,,,,1.8,2009,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
천 야로의원,경상남도 합천군 야로면 가야산로 349-5,경상남도 합천군 야로면 구정리 278-1,35.7053811782,128.1683610625,의료폐기물,,,,0.36,2008,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
가야한의원,경상남도 합천군 가야면 가야시장로 73-1,경상남도 합천군 가야면 야천리 454-8,35.7611890652,128.1387877012,의료폐기물,,,,0.3,2008,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
초계치과의원,경상남도 합천군 초계면 초계중앙로 61,경상남도 합천군 초계면 초계리 50-1,35.559314875,128.2668344988,의료폐기물,,,,0.162,2007,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
경상남도 합천군립노인전문요양원,경상남도 합천군 초계면 우회로 72-14,경상남도 합천군 초계면 대동리 245,35.560115436,128.2462130019,의료폐기물,,,,1.02,2007,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
주식회사 합천추모공원장례식장,경상남도 합천군 합천읍 합천호수로 1613,경상남도 합천군 합천읍 합천리 1359,35.565897838,128.1452246589,의료폐기물,,,,0.18,2007,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
이홍석내과,경상남도 합천군 합천읍 옥산로 90,경상남도 합천군 합천읍 합천리 381-6,35.5679039413,128.1650929414,의료폐기물,,,,0.816,2006,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
합천노인전문요양원,경상남도 합천군 삼가면 삼가로 10-13,경상남도 합천군 삼가면 어전리 438,35.3828119089,128.1170981663,의료폐기물,,,,0.36,2005,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
제일치과의원,경상남도 합천군 삼가면 삼가중앙길 21,경상남도 합천군 삼가면 일부리 925-8,35.4134019929,128.1219697447,의료폐기물,,,,0.162,2005,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
삼대경희한의원,경상남도 합천군 가야면 가야시장로 71-10,경상남도 합천군 가야면 야천리 454-2,35.7611445676,128.13835695,의료폐기물,,,,0.3,2005,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
단아미소치과의원,경상남도 합천군 합천읍 옥산로 89,경상남도 합천군 합천읍 합천리 435-3,35.5683026613,128.1649704308,의료폐기물,,,,0.444,2004,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
인제한의원,경상남도 합천군 합천읍 대야로 888,경상남도 합천군 합천읍 합천리 403-3,35.5675213794,128.1634212783,의료폐기물,,,,0.252,2002,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
안재규한의원,경상남도 합천군 합천읍 대야로 895,경상남도 합천군 합천읍 합천리 418-5,35.5684795556,128.1631245149,의료폐기물,,,,0.24,2002,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
파티마의원,경상남도 합천군 합천읍 옥산로 69,경상남도 합천군 합천읍 합천리 413-2,35.5684256085,128.1628310984,의료폐기물,,,,0.906,2001,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
합천축산업협동조합,경상남도 합천군 율곡면 임북1길 25,경상남도 합천군 율곡면 임북리 571,35.5751245676,128.1749432319,의료폐기물,,,,0.18,2001,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
십자가축병원,경상남도 합천군 합천읍 충효로 24,경상남도 합천군 합천읍 합천리 891-8,35.5624659732,128.1607660611,의료폐기물,,,,0.096,2001,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
박동물병원,경상남도 합천군 가야면 가야시장로 84,경상남도 합천군 가야면 야천리 465-7,35.7619158166,128.1391574155,의료폐기물,,,,0.096,2001,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
