대업종,구분,5인 미만 근로자수,5인 - 9인 근로자수,10인 - 19인 근로자수,20인 - 29인 근로자수,30인 - 49인 근로자수,50인 - 99인 근로자수,100인 - 299인 근로자수,300인 - 499인 근로자수,500인 - 999인 근로자수,1000인 이상 근로자수
금융및보험업,금융및보험업,0,0,0,0,0,0,0,0,0,0
광  업,석탄광업및채석업,0,0,1,0,0,0,0,0,1,0
광  업,석회석·금속·비금속광업및기타광업,0,1,0,1,1,1,0,0,0,0
제조업,식료품제조업,5,2,1,0,2,1,0,0,0,1
제조업,섬유및섬유제품제조업,2,2,3,1,0,0,0,0,0,0
제조업,목재및종이제품제조업,2,1,0,1,1,0,3,0,0,0
제조업,출판·인쇄·제본업,2,0,0,0,0,0,0,0,0,0
제조업,화학및고무제품제조업,4,1,9,1,2,3,1,0,0,0
제조업,의약품·화장품·연탄·석유제품제조업,0,0,0,0,0,0,0,0,0,0
제조업,기계기구·금속·비금속광물제품제조업,23,8,16,9,11,8,10,2,1,2
제조업,금속제련업,0,0,0,0,0,0,0,0,0,1
제조업,전기기계기구·정밀기구·전자제품제조업,0,2,1,0,1,0,1,0,0,1
제조업,선박건조및수리업,4,0,1,2,0,0,1,0,0,2
제조업,수제품및기타제품제조업,3,0,2,0,0,1,0,0,0,0
전기·가스·증기·수도사업,전기·가스·증기·수도사업,0,0,0,0,0,2,0,0,0,0
건설업,건설업,153,45,48,15,24,10,46,7,6,7
운수·창고·통신업,철도·항공·창고·운수관련서비스업,10,4,3,1,7,2,2,0,5,1
운수·창고·통신업,육상및수상운수업,78,7,9,7,4,9,6,2,3,16
운수·창고·통신업,통신업,0,0,0,0,0,0,0,0,0,0
임  업,임업,13,5,0,0,0,0,0,0,0,0
어  업,어업,0,0,0,0,0,0,0,0,0,0
농  업,농업,4,1,0,0,0,0,0,0,0,0
기타의사업,시설관리및사업지원서비스업,24,14,11,6,5,3,1,0,0,0
기타의사업,기타의각종사업,3,1,0,1,0,0,0,0,0,1
기타의사업,해외파견자,0,1,0,0,0,0,0,0,0,0
기타의사업,전문·보건·교육·여가관련서비스업,5,2,7,3,2,6,2,1,0,2
기타의사업,도소매·음식·숙박업,18,8,1,0,0,0,1,0,0,0
기타의사업,부동산업및임대업,0,0,0,0,0,0,0,0,0,0
기타의사업,국가및지방자치단체의사업,1,2,0,1,3,1,0,0,3,0
기타의사업,주한미군,0,0,0,0,0,0,0,0,0,0
